symbol,date,price
AAPL,2/9/2021,136.01
AAPL,2/8/2021,136.91
AAPL,2/5/2021,136.76
AAPL,2/4/2021,137.39
AAPL,2/3/2021,133.94
AAPL,2/2/2021,134.99
AAPL,2/1/2021,134.14
AAPL,01/29/2021,131.96
AAPL,01/28/2021,137.09
AAPL,01/27/2021,142.06
AAPL,01/26/2021,143.16
AAPL,01/25/2021,142.92
AAPL,01/22/2021,139.07
AAPL,01/21/2021,136.87
AAPL,01/20/2021,132.03
AAPL,01/19/2021,127.83
AAPL,01/15/2021,127.14
AAPL,01/14/2021,128.91
AAPL,01/13/2021,130.89
AAPL,1/12/2021,128.80
AAPL,1/11/2021,128.98
AAPL,1/8/2021,132.05
AAPL,1/7/2021,130.92
AAPL,1/6/2021,126.60
AAPL,1/5/2021,131.01
AAPL,1/4/2021,129.41
AAPL,12/31/2020,132.69
AAPL,12/30/2020,133.72
AAPL,12/29/2020,134.87
AAPL,12/28/2020,136.69
AAPL,12/24/2020,131.97
AAPL,12/23/2020,130.96
AAPL,12/22/2020,131.88
AAPL,12/21/2020,128.23
AAPL,12/18/2020,126.66
AAPL,12/17/2020,128.70
AAPL,12/16/2020,127.81
AAPL,12/15/2020,127.88
AAPL,12/14/2020,121.78
AAPL,12/11/2020,122.41
AAPL,12/10/2020,123.24
AAPL,12/9/2020,121.78
AAPL,12/8/2020,124.38
AAPL,12/7/2020,123.75
AAPL,12/4/2020,122.25
AAPL,12/3/2020,122.94
AAPL,12/2/2020,123.08
AAPL,12/1/2020,122.72
AAPL,11/30/2020,119.05
AAPL,11/27/2020,116.59
AAPL,11/25/2020,116.03
AAPL,11/24/2020,115.17
AAPL,11/23/2020,113.85
AAPL,11/20/2020,117.34
AAPL,11/19/2020,118.64
AAPL,11/18/2020,118.03
AAPL,11/17/2020,119.39
AAPL,11/16/2020,120.30
AAPL,11/13/2020,119.26
AAPL,11/12/2020,119.21
AAPL,11/11/2020,119.49
AAPL,11/10/2020,115.97
AAPL,11/9/2020,116.32
AAPL,11/6/2020,118.69
AAPL,11/5/2020,119.03
AAPL,11/4/2020,114.95
AAPL,11/3/2020,110.44
AAPL,11/2/2020,108.77
AAPL,10/30/2020,108.86
AAPL,10/29/2020,115.32
AAPL,10/28/2020,111.20
AAPL,10/27/2020,116.60
AAPL,10/26/2020,115.05
AAPL,10/23/2020,115.04
AAPL,10/22/2020,115.75
